language,subject,popularity_measure,year,month,post_type_id,country,value,date
Python,Summarybigdata,Answers,2012,2,1,,1,2012-02-01
Python,Summarybigdata,Answers,2012,3,1,,3,2012-03-01
Python,Summarybigdata,Answers,2012,4,1,,3,2012-04-01
Python,Summarybigdata,Answers,2012,5,1,india,1,2012-05-01
Python,Summarybigdata,Answers,2012,5,1,,1,2012-05-01
Python,Summarybigdata,Answers,2012,8,1,,6,2012-08-01
Python,Summarybigdata,Answers,2012,9,1,,1,2012-09-01
Python,Summarybigdata,Answers,2012,10,1,,3,2012-10-01
Python,Summarybigdata,Answers,2012,10,1,invalid,1,2012-10-01
Python,Summarybigdata,Answers,2013,2,1,turkey,3,2013-02-01
Python,Summarybigdata,Answers,2013,2,1,,5,2013-02-01
Python,Summarybigdata,Answers,2013,2,1,invalid,2,2013-02-01
Python,Summarybigdata,Answers,2013,3,1,,2,2013-03-01
Python,Summarybigdata,Answers,2013,4,1,,6,2013-04-01
Python,Summarybigdata,Answers,2013,4,1,invalid,3,2013-04-01
Python,Summarybigdata,Answers,2013,5,1,,1,2013-05-01
Python,Summarybigdata,Answers,2013,6,1,,5,2013-06-01
Python,Summarybigdata,Answers,2013,7,1,,3,2013-07-01
Python,Summarybigdata,Answers,2013,8,1,,2,2013-08-01
Python,Summarybigdata,Answers,2013,9,1,,7,2013-09-01
Python,Summarybigdata,Answers,2013,9,1,turkey,1,2013-09-01
Python,Summarybigdata,Answers,2013,10,1,,14,2013-10-01
Python,Summarybigdata,Answers,2013,11,1,invalid,0,2013-11-01
Python,Summarybigdata,Answers,2013,11,1,,3,2013-11-01
Python,Summarybigdata,Answers,2013,12,1,denmark,2,2013-12-01
Python,Summarybigdata,Answers,2013,12,1,,1,2013-12-01
Python,Summarybigdata,Answers,2014,1,1,,7,2014-01-01
Python,Summarybigdata,Answers,2014,2,1,,9,2014-02-01
Python,Summarybigdata,Answers,2014,3,1,,8,2014-03-01
Python,Summarybigdata,Answers,2014,4,1,,10,2014-04-01
Python,Summarybigdata,Answers,2014,4,1,russia,2,2014-04-01
Python,Summarybigdata,Answers,2014,5,1,,14,2014-05-01
Python,Summarybigdata,Answers,2014,6,1,,3,2014-06-01
Python,Summarybigdata,Answers,2014,7,1,,11,2014-07-01
Python,Summarybigdata,Answers,2014,7,1,invalid,3,2014-07-01
Python,Summarybigdata,Answers,2014,7,1,united states,1,2014-07-01
Python,Summarybigdata,Answers,2014,8,1,israel,1,2014-08-01
Python,Summarybigdata,Answers,2014,8,1,,10,2014-08-01
Python,Summarybigdata,Answers,2014,8,1,united kingdom,2,2014-08-01
Python,Summarybigdata,Answers,2014,8,1,india,2,2014-08-01
Python,Summarybigdata,Answers,2014,9,1,,10,2014-09-01
Python,Summarybigdata,Answers,2014,10,1,,6,2014-10-01
Python,Summarybigdata,Answers,2014,11,1,,28,2014-11-01
Python,Summarybigdata,Answers,2014,12,1,invalid,1,2014-12-01
Python,Summarybigdata,Answers,2014,12,1,india,1,2014-12-01
Python,Summarybigdata,Answers,2014,12,1,,0,2014-12-01
Python,Summarybigdata,Answers,2015,1,1,invalid,1,2015-01-01
Python,Summarybigdata,Answers,2015,1,1,,2,2015-01-01
Python,Summarybigdata,Answers,2015,2,1,invalid,0,2015-02-01
Python,Summarybigdata,Answers,2015,2,1,,4,2015-02-01
Python,Summarybigdata,Answers,2015,3,1,,4,2015-03-01
Python,Summarybigdata,Answers,2015,4,1,invalid,3,2015-04-01
