language,subject,popularity_measure,year,month,date,value
R,Bigdata,Answers,2012,1,2012-01-01,4
R,Bigdata,Answers,2012,2,2012-02-01,9
R,Bigdata,Answers,2012,3,2012-03-01,2
R,Bigdata,Answers,2012,5,2012-05-01,2
R,Bigdata,Answers,2012,6,2012-06-01,6
R,Bigdata,Answers,2012,7,2012-07-01,4
R,Bigdata,Answers,2012,8,2012-08-01,3
R,Bigdata,Answers,2012,9,2012-09-01,6
R,Bigdata,Answers,2012,10,2012-10-01,2
R,Bigdata,Answers,2012,11,2012-11-01,5
R,Bigdata,Answers,2012,12,2012-12-01,6
R,Bigdata,Answers,2013,1,2013-01-01,3
R,Bigdata,Answers,2013,2,2013-02-01,7
R,Bigdata,Answers,2013,3,2013-03-01,6
R,Bigdata,Answers,2013,4,2013-04-01,9
R,Bigdata,Answers,2013,5,2013-05-01,6
R,Bigdata,Answers,2013,6,2013-06-01,14
R,Bigdata,Answers,2013,7,2013-07-01,3
R,Bigdata,Answers,2013,8,2013-08-01,8
R,Bigdata,Answers,2013,9,2013-09-01,7
R,Bigdata,Answers,2013,10,2013-10-01,12
R,Bigdata,Answers,2013,11,2013-11-01,11
R,Bigdata,Answers,2013,12,2013-12-01,8
R,Bigdata,Answers,2014,1,2014-01-01,9
R,Bigdata,Answers,2014,2,2014-02-01,14
R,Bigdata,Answers,2014,3,2014-03-01,14
R,Bigdata,Answers,2014,4,2014-04-01,10
R,Bigdata,Answers,2014,5,2014-05-01,16
R,Bigdata,Answers,2014,6,2014-06-01,5
R,Bigdata,Answers,2014,7,2014-07-01,14
R,Bigdata,Answers,2014,8,2014-08-01,7
R,Bigdata,Answers,2014,9,2014-09-01,4
R,Bigdata,Answers,2014,10,2014-10-01,0
R,Bigdata,Answers,2014,11,2014-11-01,3
R,Bigdata,Answers,2014,12,2014-12-01,15
R,Bigdata,Answers,2015,1,2015-01-01,3
R,Bigdata,Answers,2015,2,2015-02-01,5
R,Bigdata,Answers,2015,3,2015-03-01,13
